chrom	start	end	gene	cov	strand	numSamples	clusters
NC_005823.1	77684	77953	unaware	2	+	1	108
NC_005823.1	77933	78632	LIC_RS00310	12	+	2	109
NC_005823.1	78060	78572	LIC_RS00310	1	+	1	110
NC_005823.1	78087	78608	LIC_RS00310	1	+	1	111
NC_005823.1	79063	79969	LIC_RS00320	4	+	4	112
NC_005823.1	79197	81073	LIC_RS00320	1	+	1	113
NC_005823.1	79345	81073	LIC_RS00320	1	+	1	114
NC_005823.1	79610	80009	LIC_RS00320:LIC_RS00325	1	+	2	115
NC_005823.1	79778	80041	LIC_RS00325	1	+	1	116
NC_005823.1	79832	80368	LIC_RS00325	2	+	3	117
NC_005823.1	81354	82826	unaware	5	+	1	118
NC_005823.1	85458	85819	unaware	2	+	1	119
NC_005823.1	85729	86866	LIC_RS00345	15	+	4	120
NC_005823.1	85798	86580	LIC_RS00345	9	+	1	121
NC_005823.1	85823	86261	LIC_RS00345	1	+	1	122
NC_005823.1	86118	86353	unaware	2	+	1	123
NC_005823.1	86983	87652	unaware	5	+	1	124
NC_005823.1	87335	87652	unaware	14	+	1	125
NC_005823.1	87380	87652	LIC_RS00350	1279	+	7	126
NC_005823.1	88183	88339	unaware	3	+	1	127
NC_005823.1	90736	91233	LIC_RS00370	1	+	1	128
NC_005823.1	90782	91217	LIC_RS00370	2	+	1	129
NC_005823.1	90849	91696	LIC_RS00370	1	+	1	130
NC_005823.1	90945	91464	LIC_RS00370	2	+	5	131
NC_005823.1	90987	91756	unaware	11	+	3	132
NC_005823.1	92686	93371	LIC_RS00380	28	+	5	133
NC_005823.1	94745	95123	unaware	4	+	5	134
NC_005823.1	95526	96014	LIC_RS23215	2	+	1	135
NC_005823.1	95638	96000	LIC_RS23215	3	+	2	136
NC_005823.1	95696	96363	LIC_RS23215	4	+	1	137
NC_005823.1	95720	96265	unaware	24	+	2	138
NC_005823.1	95992	96353	LIC_RS00400	32	+	6	139
NC_005823.1	100066	100336	unaware	6	+	3	140
NC_005823.1	100114	100404	unaware	2	+	1	141
NC_005823.1	100635	101412	LIC_RS00445	1	+	1	142
NC_005823.1	100706	101555	unaware:LIC_RS00445	3	+	4	143
NC_005823.1	102301	102950	unaware	11	+	4	144
NC_005823.1	103720	105167	LIC_RS00455	10	+	4	145
NC_005823.1	103794	104898	LIC_RS00455:unaware:unaware	21	+	3	146
NC_005823.1	105066	106180	LIC_RS00460	6	+	3	147
NC_005823.1	105466	106137	LIC_RS00465	1	+	1	148
NC_005823.1	106063	107314	LIC_RS00465	5	+	1	149
NC_005823.1	106356	106995	unaware	3	+	1	150
NC_005823.1	106726	107083	unaware	2	+	1	151
NC_005823.1	107590	108965	LIC_RS00470:LIC_RS00475	7	+	5	152
NC_005823.1	108054	109162	LIC_RS00475	1	+	1	153
NC_005823.1	108198	108927	LIC_RS00475	1	+	1	154
NC_005823.1	109148	109579	unaware	4	+	1	155
NC_005823.1	110429	110802	unaware	3	+	1	156
NC_005823.1	110619	110955	unaware	4	+	1	157
NC_005823.1	113075	113243	unaware	3	+	1	158
NC_005823.1	114065	114886	unaware	8	+	3	159
NC_005823.1	114956	115118	unaware	8	+	1	160
NC_005823.1	116620	117021	LIC_RS00510	3	+	2	161
NC_005823.1	116675	117118	LIC_RS00510	6	+	4	162
NC_005823.1	117310	118377	unaware	2	+	1	163
NC_005823.1	117346	117946	unaware	10	+	2	164
NC_005823.1	117433	118214	unaware	3	+	1	165
NC_005823.1	117893	118251	unaware	2	+	1	166
NC_005823.1	118329	118556	unaware	2	+	1	167
NC_005823.1	118489	118981	unaware	5	+	1	168
NC_005823.1	118777	119119	unaware	19	+	1	169
NC_005823.1	122792	123739	LIC_RS00530	25	+	5	170
NC_005823.1	122822	123547	LIC_RS00535	1	+	1	171
NC_005823.1	123431	124651	LIC_RS00535	15	+	4	172
NC_005823.1	126685	127622	unaware	4	+	2	173
NC_005823.1	126708	127671	unaware	2	+	1	174
NC_005823.1	127166	127446	unaware	31	+	2	175
NC_005823.1	127967	128924	unaware	2	+	1	176
NC_005823.1	128127	128675	LIC_RS00565	2	+	2	177
NC_005823.1	128188	129016	LIC_RS00565	6	+	1	178
NC_005823.1	128263	128963	LIC_RS00565	8	+	2	179
NC_005823.1	130048	131085	unaware:LIC_RS00580	16	+	4	180
NC_005823.1	130532	131160	LIC_RS00580	2	+	1	181
NC_005823.1	131018	131609	LIC_RS00585	1	+	1	182
NC_005823.1	131070	131614	LIC_RS00585	3	+	1	183
NC_005823.1	131223	131694	LIC_RS00585	1	+	1	184
NC_005823.1	132054	132719	LIC_RS00590	9	+	2	185
NC_005823.1	132598	133225	unaware	28	+	1	186
NC_005823.1	132869	133311	LIC_RS00595	1	+	1	187
NC_005823.1	133016	133363	LIC_RS00595	1	+	1	188
NC_005823.1	133500	133958	unaware	3	+	1	189
NC_005823.1	133787	134246	LIC_RS00600	2	+	1	190
NC_005823.1	133816	133961	unaware	3	+	1	191
NC_005823.1	134110	135398	LIC_RS00600	1	+	1	192
NC_005823.1	134234	134971	unaware	14	+	4	193
NC_005823.1	134309	135093	unaware	3	+	1	194
NC_005823.1	137609	137984	unaware	4	+	3	195
NC_005823.1	141125	141869	unaware	2	+	1	196
NC_005823.1	141347	142667	unaware	2	+	1	197
NC_005823.1	141506	142539	unaware	8	+	3	198
NC_005823.1	141807	142828	LIC_RS00625	19	+	5	199
NC_005823.1	142518	144122	LIC_RS00630	1	+	1	200
NC_005823.1	142555	142934	LIC_RS00630	1	+	1	201
NC_005823.1	144209	145243	unaware	6	+	2	202
NC_005823.1	144248	145243	LIC_RS00635	151	+	5	203
NC_005823.1	145322	145765	LIC_RS00640	48	+	5	204
NC_005823.1	145742	147257	LIC_RS00645	1	+	1	205
NC_005823.1	145770	147187	LIC_RS00645	1	+	1	206
NC_005823.1	146814	147076	LIC_RS00645	1	+	1	207
NC_005823.1	147440	147813	unaware	2	+	1	208
NC_005823.1	147864	148711	unaware	3	+	1	209
NC_005823.1	149318	149782	unaware	18	+	2	210
NC_005823.1	151485	151826	unaware	4	+	2	211
NC_005823.1	151546	151860	unaware	4	+	1	212
NC_005823.1	151882	152369	LIC_RS00655	35	+	5	213
NC_005823.1	153029	153951	LIC_RS00660	2	+	1	214
NC_005823.1	153052	153847	LIC_RS00665	25	+	5	215
NC_005823.1	153461	153724	LIC_RS00665	6	+	2	216
NC_005823.1	153514	153804	unaware	217	+	5	217
NC_005823.1	157082	157727	unaware	2	+	3	218
NC_005823.1	157147	158051	LIC_RS00680	13	+	5	219
NC_005823.1	159352	159990	LIC_RS00690:unaware:LIC_RS00690:unaware	14	+	6	220
NC_005823.1	159577	159908	LIC_RS00690	1	+	1	221
NC_005823.1	159725	159929	LIC_RS00690	1	+	1	222
NC_005823.1	159985	160384	unaware	31	+	3	223
NC_005823.1	160452	160778	unaware	2	+	1	224
NC_005823.1	161309	161607	unaware	2	+	1	225
NC_005823.1	162008	162529	unaware	2	+	1	226
NC_005823.1	162307	162517	unaware	3	+	1	227
NC_005823.1	162739	163613	unaware	3	+	1	228
NC_005823.1	163568	164571	LIC_RS00705:unaware:LIC_RS00710	41	+	6	229
NC_005823.1	166395	167767	LIC_RS00715	1	+	1	230
NC_005823.1	166538	167126	LIC_RS00715	1	+	1	231
NC_005823.1	166665	167350	LIC_RS00715	1	+	1	232
NC_005823.1	166747	166944	LIC_RS00715	1	+	1	233
NC_005823.1	166887	167303	LIC_RS00715	1	+	1	234
NC_005823.1	166915	167744	LIC_RS00715	1	+	1	235
NC_005823.1	167619	168096	unaware	6	+	2	236
NC_005823.1	167903	168307	unaware	2	+	1	237
NC_005823.1	168516	169454	unaware	65	+	5	238
NC_005823.1	169826	170470	unaware:LIC_RS00725	2	+	2	239
NC_005823.1	170424	170773	LIC_RS00725	248	+	6	240
NC_005823.1	173391	174007	unaware	2	+	1	241
NC_005823.1	173412	173920	LIC_RS00740	18	+	5	242
NC_005823.1	173828	174331	LIC_RS00745	98	+	5	243
NC_005823.1	174414	174888	unaware	4	+	1	244
NC_005823.1	176136	176641	unaware	11	+	5	245
NC_005823.1	176311	176956	unaware	8	+	1	246
NC_005823.1	177887	178681	LIC_RS00760	3	+	3	247
NC_005823.1	177938	178410	LIC_RS00760	3	+	4	248
NC_005823.1	178092	178614	unaware	26	+	3	249
NC_005823.1	179005	179484	unaware	4	+	1	250
NC_005823.1	179554	180088	LIC_RS00765	1	+	1	251
NC_005823.1	179614	179846	unaware:LIC_RS00765	2	+	2	252
NC_005823.1	179678	180038	LIC_RS00765	1	+	1	253
NC_005823.1	179812	180186	LIC_RS00765:unaware:unaware	13	+	9	254
NC_005823.1	180293	181245	unaware	8	+	3	255
NC_005823.1	180569	181179	LIC_RS00770	1	+	1	256
NC_005823.1	180729	181288	LIC_RS00770:unaware	28	+	2	257
NC_005823.1	180986	181307	LIC_RS00770	1	+	1	258
NC_005823.1	182795	183381	unaware	3	+	1	259
NC_005823.1	183360	183999	LIC_RS00775	1	+	1	260
NC_005823.1	183602	184061	LIC_RS00775	1	+	2	261
NC_005823.1	183716	184271	LIC_RS00775	2	+	1	262
NC_005823.1	183744	184246	LIC_RS00775	1	+	1	263
NC_005823.1	183816	184095	LIC_RS00775	1	+	1	264
NC_005823.1	184519	185553	unaware	12	+	4	265
NC_005823.1	184542	185069	unaware	2	+	1	266
NC_005823.1	184647	184822	unaware	14	+	3	267
NC_005823.1	184673	185546	LIC_RS00785	79	+	5	268
NC_005823.1	185260	185628	LIC_RS00805	26	+	2	269
NC_005823.1	186042	186550	unaware	2	+	1	270
NC_005823.1	186177	187133	unaware	23	+	4	271
NC_005823.1	187314	188374	LIC_RS00810	89	+	5	272
NC_005823.1	187916	188108	LIC_RS00815	241	+	2	273
NC_005823.1	189025	189440	unaware	23	+	1	274
NC_005823.1	189363	189617	LIC_RS00820	24	+	3	275
NC_005823.1	190450	190704	unaware	2	+	1	276
NC_005823.1	191023	191766	unaware	6	+	1	277
NC_005823.1	191205	192374	LIC_RS00825	19	+	5	278
NC_005823.1	191406	191598	LIC_RS00825	10	+	1	279
NC_005823.1	193320	194091	LIC_RS00830	19	+	1	280
NC_005823.1	193546	194367	LIC_RS00830	13	+	4	281
NC_005823.1	194207	195001	unaware	2	+	1	282
NC_005823.1	198275	198875	LIC_RS00875	24	+	5	283
NC_005823.1	199469	201625	LIC_RS00885	2	+	1	284
NC_005823.1	199538	200269	unaware	29	+	4	285
NC_005823.1	199967	200967	LIC_RS00890:LIC_RS00895:LIC_RS00895	27	+	6	286
NC_005823.1	201675	202431	LIC_RS19940	1	+	1	287
NC_005823.1	201930	202566	LIC_RS19940	1	+	1	288
NC_005823.1	202316	203878	LIC_RS00905	40	+	4	289
NC_005823.1	202838	203543	LIC_RS00910	54	+	6	290
NC_005823.1	204193	205639	LIC_RS00920	1	+	1	291
NC_005823.1	204530	205712	LIC_RS00920	1	+	1	292
NC_005823.1	205222	205927	LIC_RS00925:LIC_RS23235	467	+	2	293
NC_005823.1	205536	205928	LIC_RS23235	619	+	1	294
NC_005823.1	205640	205929	LIC_RS00935	7	+	1	295
NC_005823.1	207292	209821	LIC_RS00945	1	+	1	296
NC_005823.1	208172	210075	LIC_RS00945	1	+	1	297
NC_005823.1	208845	209356	LIC_RS00950	1	+	1	298
NC_005823.1	209887	210845	LIC_RS00955	6	+	1	299
NC_005823.1	210569	210770	unaware	2	+	1	300
NC_005823.1	213483	214626	LIC_RS00980	2	+	1	301
NC_005823.1	215534	217306	LIC_RS00990	8	+	2	302
NC_005823.1	219976	220390	unaware	2	+	1	303
NC_005823.1	220414	220752	unaware	8	+	1	304
NC_005823.1	221354	221682	unaware	2	+	3	305
NC_005823.1	221481	221810	LIC_RS01005	11	+	5	306
NC_005823.1	221847	222455	unaware	9	+	4	307
NC_005823.1	225753	226310	unaware	2	+	1	308
NC_005823.1	225997	226970	LIC_RS01030	7	+	4	309
NC_005823.1	226238	227648	LIC_RS01035	14	+	1	310
NC_005823.1	226290	227019	LIC_RS01035	11	+	4	311
NC_005823.1	226876	227122	unaware	2	+	1	312
NC_005823.1	227214	228348	LIC_RS01040	5	+	1	313
NC_005823.1	227931	228180	unaware	2	+	1	314
NC_005823.1	228094	228346	unaware	3	+	1	315
NC_005823.1	228524	228944	unaware	3	+	1	316
NC_005823.1	228984	229313	unaware	2	+	1	317
NC_005823.1	230459	231363	unaware	3	+	4	318
NC_005823.1	231964	232593	LIC_RS01065	16	+	5	319
NC_005823.1	232954	233143	unaware	4	+	1	320
NC_005823.1	233317	233531	unaware	3	+	1	321
NC_005823.1	234782	234955	unaware	2	+	1	322
NC_005823.1	235028	235295	unaware	2	+	1	323
NC_005823.1	235938	236141	unaware	2	+	1	324
NC_005823.1	235980	236467	LIC_RS23240:LIC_RS01085:LIC_RS23240	18	+	7	325
NC_005823.1	236176	236784	LIC_RS01085	1	+	1	326
NC_005823.1	236941	237317	LIC_RS01090	56	+	7	327
NC_005823.1	236968	237775	LIC_RS01090	1	+	1	328
NC_005823.1	239034	239765	LIC_RS01100	1	+	1	329
NC_005823.1	239632	240380	LIC_RS01100	90	+	2	330
NC_005823.1	241543	241841	unaware	2	+	1	331
NC_005823.1	241601	242292	unaware	2	+	1	332
NC_005823.1	241707	242297	LIC_RS01105	25	+	5	333
NC_005823.1	241743	242264	LIC_RS01105	22	+	4	334
NC_005823.1	242481	242980	unaware	2	+	1	335
NC_005823.1	242790	243380	LIC_RS01110	28	+	5	336
NC_005823.1	242958	243414	unaware	5	+	1	337
NC_005823.1	243542	244768	LIC_RS01115:LIC_RS01120	181	+	7	338
NC_005823.1	245229	246647	LIC_RS01125	85	+	6	339
NC_005823.1	247591	247745	unaware	2	+	1	340
NC_005823.1	249526	250470	unaware	2	+	2	341
NC_005823.1	250065	250784	LIC_RS01145	91	+	6	342
NC_005823.1	252849	253511	LIC_RS01150	5	+	4	343
NC_005823.1	252913	253726	LIC_RS01150:unaware:unaware:unaware	161	+	6	344
NC_005823.1	254372	254788	unaware	30	+	1	345
NC_005823.1	254571	255028	unaware	3	+	1	346
NC_005823.1	255207	255737	unaware	2	+	1	347
NC_005823.1	258229	259327	unaware	7	+	4	348
NC_005823.1	258267	258821	LIC_RS01165	83	+	7	349
NC_005823.1	260137	260627	LIC_RS01175:unaware	31	+	6	350
NC_005823.1	261281	262525	unaware	5	+	1	351
NC_005823.1	261886	262549	LIC_RS01180	5	+	2	352
NC_005823.1	264180	264800	unaware	5	+	5	353
NC_005823.1	264417	264827	unaware	21	+	1	354
NC_005823.1	264671	264882	unaware	43	+	3	355
NC_005823.1	266917	267382	unaware	2	+	1	356
NC_005823.1	267070	267470	LIC_RS01205	1	+	1	357
NC_005823.1	267191	267406	unaware	2	+	1	358
NC_005823.1	267325	268205	LIC_RS01205	15	+	5	359
NC_005823.1	267605	268500	unaware	15	+	1	360
NC_005823.1	268463	268965	LIC_RS01210	2	+	1	361
NC_005823.1	268632	268966	LIC_RS01210	9	+	1	362
NC_005823.1	268759	269389	unaware	8	+	1	363
NC_005823.1	269564	270090	unaware	2	+	1	364
NC_005823.1	269664	269886	unaware	2	+	1	365
NC_005823.1	271560	272081	unaware	4	+	1	366
NC_005823.1	271672	272035	LIC_RS01220	47	+	5	367
NC_005823.1	272009	272883	LIC_RS01225	23	+	4	368
NC_005823.1	272591	272883	unaware	2	+	1	369
NC_005823.1	272880	273695	LIC_RS01230	37	+	5	370
NC_005823.1	272908	273210	unaware	36	+	1	371
NC_005823.1	273890	274257	LIC_RS01235	24	+	4	372
NC_005823.1	275598	276605	LIC_RS01240	3	+	2	373
NC_005823.1	275643	276659	LIC_RS01240	2	+	1	374
NC_005823.1	275708	276758	unaware	3	+	1	375
NC_005823.1	276384	277314	LIC_RS01245	3	+	1	376
NC_005823.1	276972	278393	LIC_RS01250	3	+	1	377
NC_005823.1	277183	278265	LIC_RS01250:LIC_RS23080	19	+	3	378
NC_005823.1	277705	278747	LIC_RS23080	1	+	1	379
NC_005823.1	277916	278681	LIC_RS23080	1	+	1	380
NC_005823.1	278380	278586	LIC_RS23080	1	+	1	381
NC_005823.1	278881	280121	unaware	3	+	1	382
NC_005823.1	278914	279898	unaware:LIC_RS01265	54	+	5	383
NC_005823.1	278965	280108	LIC_RS01265	5	+	1	384
NC_005823.1	279019	280130	LIC_RS01265	59	+	1	385
NC_005823.1	282994	283562	LIC_RS01285	1	+	1	386
NC_005823.1	283154	283770	LIC_RS01285	2	+	1	387
NC_005823.1	283221	283619	LIC_RS01285	1	+	1	388
NC_005823.1	283434	285198	LIC_RS01285	1	+	1	389
NC_005823.1	283475	283770	LIC_RS01285	1	+	1	390
NC_005823.1	283516	284153	unaware	8	+	1	391
NC_005823.1	283816	283989	unaware	11	+	2	392
NC_005823.1	285806	286144	unaware	2	+	1	393
NC_005823.1	285921	286227	unaware	3	+	1	394
NC_005823.1	286511	287101	unaware	2	+	1	395
NC_005823.1	287562	288000	unaware	3	+	1	396
NC_005823.1	288495	289184	unaware	2	+	1	397
NC_005823.1	289440	289782	LIC_RS01300	2	+	1	398
NC_005823.1	289518	289782	LIC_RS01300	1	+	1	399
NC_005823.1	289605	289788	LIC_RS01300	1	+	1	400
NC_005823.1	289732	291023	unaware	44	+	5	401
NC_005823.1	292099	292425	unaware	2	+	1	402
NC_005823.1	292755	293697	unaware	2	+	2	403
NC_005823.1	292936	293541	unaware	2	+	1	404
NC_005823.1	294355	295880	LIC_RS01325	1	+	1	405
NC_005823.1	294507	295548	LIC_RS01320	1	+	1	406
NC_005823.1	294703	295555	LIC_RS01320	1	+	1	407
NC_005823.1	294724	295627	LIC_RS01320	4	+	1	408
NC_005823.1	294778	295445	LIC_RS01320	1	+	1	409
NC_005823.1	295191	295719	LIC_RS01325	1	+	1	410
NC_005823.1	295545	295867	LIC_RS01325	1	+	2	411
NC_005823.1	295715	296505	unaware	17	+	4	412
NC_005823.1	296933	297442	unaware	2	+	1	413
NC_005823.1	297080	297667	LIC_RS01330	3	+	1	414
NC_005823.1	297239	297744	LIC_RS01330	1	+	1	415
NC_005823.1	297271	298132	LIC_RS01330	2	+	1	416
NC_005823.1	299525	299907	unaware	90	+	5	417
NC_005823.1	300805	301009	unaware	12	+	3	418
NC_005823.1	300840	301491	LIC_RS19980	15	+	5	419
NC_005823.1	300949	301238	LIC_RS19980	2	+	1	420
NC_005823.1	302053	302268	unaware	2	+	1	421
NC_005823.1	302390	302784	unaware	11	+	2	422
NC_005823.1	303644	304045	unaware	4	+	2	423
NC_005823.1	305939	306399	unaware	6	+	3	424
NC_005823.1	308402	308806	unaware	4	+	1	425
NC_005823.1	311250	312071	LIC_RS01405	14	+	5	426
NC_005823.1	311280	311794	LIC_RS01405	1	+	1	427
NC_005823.1	312085	312551	unaware	5	+	1	428
NC_005823.1	312577	313505	LIC_RS01415:unaware:unaware	7	+	3	429
NC_005823.1	312848	313852	LIC_RS01415	1	+	1	430
NC_005823.1	313386	313711	LIC_RS01415	2	+	1	431
NC_005823.1	313438	313724	LIC_RS01415	1	+	1	432
NC_005823.1	313495	313960	LIC_RS01415	1	+	1	433
NC_005823.1	313591	314061	LIC_RS01415	1	+	1	434
NC_005823.1	313629	314119	unaware	6	+	2	435
NC_005823.1	314264	314915	unaware	2	+	1	436
NC_005823.1	314582	314995	unaware	11	+	3	437
NC_005823.1	314811	315262	LIC_RS01425	1	+	1	438
NC_005823.1	315082	316214	LIC_RS01425	2	+	1	439
NC_005823.1	315272	316049	unaware	4	+	2	440
NC_005823.1	315635	316331	unaware	5	+	1	441
NC_005823.1	316136	317366	LIC_RS01430	1	+	1	442
NC_005823.1	316252	316907	LIC_RS01430	1	+	1	443
NC_005823.1	316680	317918	LIC_RS01430	1	+	1	444
NC_005823.1	316781	317731	LIC_RS01430	2	+	1	445
NC_005823.1	316851	317594	LIC_RS01430	3	+	1	446
NC_005823.1	318015	318421	LIC_RS01435	7	+	3	447
NC_005823.1	318176	319014	unaware	3	+	1	448
NC_005823.1	319631	320281	LIC_RS01445:unaware	4	+	3	449
NC_005823.1	319801	320266	LIC_RS01445	1	+	1	450
NC_005823.1	319846	320149	LIC_RS01445	1	+	1	451
NC_005823.1	320125	320786	LIC_RS01445	3	+	4	452
NC_005823.1	321246	322273	unaware	24	+	4	453
NC_005823.1	322588	323557	unaware	12	+	3	454
NC_005823.1	323075	324243	LIC_RS01460	9	+	2	455
NC_005823.1	323301	323869	LIC_RS01460	17	+	1	456
NC_005823.1	323907	324505	LIC_RS01465	1	+	1	457
NC_005823.1	324018	324491	LIC_RS01465	1	+	1	458
NC_005823.1	324189	324497	LIC_RS01465	1	+	1	459
NC_005823.1	324384	324849	LIC_RS01465	4	+	3	460
NC_005823.1	325046	325968	unaware	2	+	1	461
NC_005823.1	325587	325927	unaware	6	+	3	462
NC_005823.1	325675	325915	unaware	2	+	1	463
NC_005823.1	328390	329110	unaware	2	+	2	464
NC_005823.1	328485	328962	unaware	2	+	1	465
NC_005823.1	329408	330161	LIC_RS01475	2	+	1	466
NC_005823.1	329750	330138	LIC_RS23245	7	+	1	467
NC_005823.1	329838	330371	LIC_RS01485	86	+	5	468
NC_005823.1	331271	332258	LIC_RS01495:LIC_RS01500	33	+	6	469
NC_005823.1	331399	333082	LIC_RS01500	1	+	1	470
NC_005823.1	331640	332022	unaware	79	+	1	471
NC_005823.1	332617	333079	unaware	3	+	1	472
NC_005823.1	333400	333534	unaware	2	+	1	473
