chrom	strand	start	end	numGenes	numOfReads	genesIncluded
NC_005823.1	+	27805	29228	1	221	LIC_RS00120
NC_005823.1	+	28182	30040	2	25	LIC_RS00120:LIC_RS00125
NC_005823.1	+	29265	31991	1	70	LIC_RS00125
NC_005823.1	+	31963	32707	1	11	LIC_RS00130
NC_005823.1	+	32061	33478	2	13	LIC_RS00130:LIC_RS00135
NC_005823.1	+	32820	34115	1	14	LIC_RS00135
NC_005823.1	+	33718	34612	2	4	LIC_RS00135:LIC_RS00140
NC_005823.1	+	33761	34932	3	1	LIC_RS00135:LIC_RS00140:LIC_RS00145
NC_005823.1	+	34041	34864	1	176	LIC_RS00140
NC_005823.1	+	34086	36194	2	51	LIC_RS00140:LIC_RS00145
NC_005823.1	+	34920	36361	1	10	LIC_RS00145
NC_005823.1	+	39753	40640	1	47	LIC_RS00165
NC_005823.1	+	39755	41183	2	23	LIC_RS00165:LIC_RS00170
NC_005823.1	+	39768	41687	3	2	LIC_RS00165:LIC_RS00170:LIC_RS00175
NC_005823.1	+	40013	42134	4	1	LIC_RS00165:LIC_RS00170:LIC_RS00175:LIC_RS00180
NC_005823.1	+	40660	41112	1	3	LIC_RS00170
NC_005823.1	+	40825	41814	2	17	LIC_RS00170:LIC_RS00175
NC_005823.1	+	40834	42213	3	13	LIC_RS00170:LIC_RS00175:LIC_RS00180
NC_005823.1	+	41406	42909	2	18	LIC_RS00175:LIC_RS00180
NC_005823.1	+	41431	41906	1	9	LIC_RS00175
NC_005823.1	+	41927	44287	1	118	LIC_RS00180
NC_005823.1	+	43856	44616	2	3	LIC_RS00180:LIC_RS00185
NC_005823.1	+	44136	44920	3	1	LIC_RS00180:LIC_RS00185:LIC_RS00190
NC_005823.1	+	44221	45334	2	8	LIC_RS00185:LIC_RS00190
NC_005823.1	+	44222	44720	1	2	LIC_RS00185
NC_005823.1	+	44850	46560	1	42	LIC_RS00190
NC_005823.1	+	46341	46993	2	1	LIC_RS00190:LIC_RS00195
NC_005823.1	+	46489	48662	1	119	LIC_RS00195
NC_005823.1	+	51969	54293	1	186	LIC_RS00220
NC_005823.1	+	54119	55245	1	79	LIC_RS00225
NC_005823.1	+	54382	56202	2	179	LIC_RS00225:LIC_RS00230
NC_005823.1	+	55028	57615	3	13	LIC_RS00225:LIC_RS00230:LIC_RS00235
NC_005823.1	+	55255	56586	2	27	LIC_RS00230:LIC_RS00235
NC_005823.1	+	55257	56258	1	132	LIC_RS00230
NC_005823.1	+	56192	58314	1	909	LIC_RS00235
NC_005823.1	+	62554	63903	1	14	LIC_RS00260
NC_005823.1	+	66443	68194	1	699	LIC_RS00275
NC_005823.1	+	68715	69744	1	13	LIC_RS00285
NC_005823.1	+	69683	70740	2	11	LIC_RS00285:LIC_RS00290
NC_005823.1	+	69953	72389	1	47	LIC_RS00290
NC_005823.1	+	74590	78100	1	189	LIC_RS00305
NC_005823.1	+	76603	79075	2	36	LIC_RS00305:LIC_RS00310
NC_005823.1	+	78145	79191	1	21	LIC_RS00310
NC_005823.1	+	79070	79848	1	2	LIC_RS00320
NC_005823.1	+	79197	81074	2	3	LIC_RS00320:LIC_RS00325
NC_005823.1	+	80054	83502	1	75	LIC_RS00325
NC_005823.1	+	85624	87039	1	50	LIC_RS00345
NC_005823.1	+	86809	88396	1	3894	LIC_RS00350
NC_005823.1	+	90942	91919	1	24	LIC_RS00370
NC_005823.1	+	92687	94391	1	102	LIC_RS00380
NC_005823.1	+	95638	96519	2	23	LIC_RS23215:LIC_RS00400
NC_005823.1	+	95638	95941	1	10	LIC_RS23215
NC_005823.1	+	95931	97109	1	68	LIC_RS00400
NC_005823.1	+	100635	102281	1	21	LIC_RS00445
NC_005823.1	+	102299	103007	1	17	LIC_RS00450
NC_005823.1	+	103637	105312	1	71	LIC_RS00455
NC_005823.1	+	103720	105695	2	14	LIC_RS00455:LIC_RS00460
NC_005823.1	+	103864	106341	3	2	LIC_RS00455:LIC_RS00460:LIC_RS00465
NC_005823.1	+	105067	106044	1	10	LIC_RS00460
NC_005823.1	+	105378	106646	2	5	LIC_RS00460:LIC_RS00465
NC_005823.1	+	106067	107576	1	27	LIC_RS00465
NC_005823.1	+	107107	108587	2	17	LIC_RS00465:LIC_RS00470
NC_005823.1	+	107548	108975	3	3	LIC_RS00465:LIC_RS00470:LIC_RS00475
NC_005823.1	+	107600	108603	1	27	LIC_RS00470
NC_005823.1	+	107614	109277	2	26	LIC_RS00470:LIC_RS00475
NC_005823.1	+	108685	109911	1	13	LIC_RS00475
NC_005823.1	+	116602	119404	1	97	LIC_RS00510
NC_005823.1	+	122788	123509	1	29	LIC_RS00530
NC_005823.1	+	122788	124754	2	28	LIC_RS00530:LIC_RS00535
NC_005823.1	+	123428	125219	1	85	LIC_RS00535
NC_005823.1	+	127967	129029	1	62	LIC_RS00565
NC_005823.1	+	130046	131615	3	3	LIC_RS00575:LIC_RS00580:LIC_RS00585
NC_005823.1	+	130046	131239	2	46	LIC_RS00575:LIC_RS00580
NC_005823.1	+	130047	130502	1	9	LIC_RS00575
NC_005823.1	+	130235	132340	4	1	LIC_RS00575:LIC_RS00580:LIC_RS00585:LIC_RS00590
NC_005823.1	+	130658	131215	1	31	LIC_RS00580
NC_005823.1	+	130684	131982	2	41	LIC_RS00580:LIC_RS00585
NC_005823.1	+	130798	132088	3	3	LIC_RS00580:LIC_RS00585:LIC_RS00590
NC_005823.1	+	131251	132056	1	54	LIC_RS00585
NC_005823.1	+	131292	132370	2	13	LIC_RS00585:LIC_RS00590
NC_005823.1	+	131446	133313	3	1	LIC_RS00585:LIC_RS00590:LIC_RS00595
NC_005823.1	+	131972	133284	1	72	LIC_RS00590
NC_005823.1	+	132579	133828	2	27	LIC_RS00590:LIC_RS00595
NC_005823.1	+	133293	134017	1	13	LIC_RS00595
NC_005823.1	+	134216	136490	1	200	LIC_RS00600
NC_005823.1	+	141267	144127	2	42	LIC_RS00625:LIC_RS00630
NC_005823.1	+	141347	142816	1	96	LIC_RS00625
NC_005823.1	+	142895	144233	1	42	LIC_RS00630
NC_005823.1	+	144204	145248	1	327	LIC_RS00635
NC_005823.1	+	144241	146742	2	13	LIC_RS00635:LIC_RS00640
NC_005823.1	+	145070	147108	3	1	LIC_RS00635:LIC_RS00640:LIC_RS00645
NC_005823.1	+	145267	146941	1	218	LIC_RS00640
NC_005823.1	+	145322	150151	2	63	LIC_RS00640:LIC_RS00645
NC_005823.1	+	146968	150948	1	510	LIC_RS00645
NC_005823.1	+	151483	152976	1	112	LIC_RS00655
NC_005823.1	+	151884	153396	2	33	LIC_RS00655:LIC_RS00660
NC_005823.1	+	152474	153840	3	2	LIC_RS00655:LIC_RS00660:LIC_RS00665
NC_005823.1	+	152948	153434	1	31	LIC_RS00660
NC_005823.1	+	152954	154670	2	60	LIC_RS00660:LIC_RS00665
NC_005823.1	+	153395	154833	1	544	LIC_RS00665
NC_005823.1	+	157082	159881	1	96	LIC_RS00680
NC_005823.1	+	159182	160062	2	1	LIC_RS00680:LIC_RS00690
NC_005823.1	+	159328	161618	1	172	LIC_RS00690
NC_005823.1	+	163568	164328	1	78	LIC_RS00705
NC_005823.1	+	163570	165145	2	19	LIC_RS00705:LIC_RS00710
NC_005823.1	+	164210	166178	1	152	LIC_RS00710
NC_005823.1	+	166538	168184	1	19	LIC_RS00715
NC_005823.1	+	167906	169373	2	3	LIC_RS00715:LIC_RS00720
NC_005823.1	+	168494	170419	1	179	LIC_RS00720
NC_005823.1	+	168514	170776	2	1	LIC_RS00720:LIC_RS00725
NC_005823.1	+	169815	171876	1	469	LIC_RS00725
NC_005823.1	+	170214	172756	2	113	LIC_RS00725:LIC_RS00730
NC_005823.1	+	171903	172987	1	68	LIC_RS00730
NC_005823.1	+	173177	175423	2	86	LIC_RS00740:LIC_RS00745
NC_005823.1	+	173405	173951	1	36	LIC_RS00740
NC_005823.1	+	173957	175555	1	163	LIC_RS00745
NC_005823.1	+	177851	178676	1	23	LIC_RS00760
NC_005823.1	+	179554	181122	1	68	LIC_RS00765
NC_005823.1	+	180207	182177	2	47	LIC_RS00765:LIC_RS00770
NC_005823.1	+	181057	183929	1	186	LIC_RS00770
NC_005823.1	+	183602	184247	1	2	LIC_RS00775
NC_005823.1	+	184481	184857	1	90	LIC_RS00785
NC_005823.1	+	184500	185708	4	44	LIC_RS00785:LIC_RS19935:LIC_RS00800:LIC_RS00805
NC_005823.1	+	184513	185171	2	248	LIC_RS00785:LIC_RS19935
NC_005823.1	+	184616	185402	3	26	LIC_RS00785:LIC_RS19935:LIC_RS00800
NC_005823.1	+	184858	185154	1	12	LIC_RS19935
NC_005823.1	+	184864	186571	3	20	LIC_RS19935:LIC_RS00800:LIC_RS00805
NC_005823.1	+	184866	185383	2	10	LIC_RS19935:LIC_RS00800
NC_005823.1	+	185200	186760	2	62	LIC_RS00800:LIC_RS00805
NC_005823.1	+	185415	187304	1	126	LIC_RS00805
NC_005823.1	+	186177	188148	3	15	LIC_RS00805:LIC_RS00810:LIC_RS00815
NC_005823.1	+	186451	187972	2	21	LIC_RS00805:LIC_RS00810
NC_005823.1	+	187298	188026	1	74	LIC_RS00810
NC_005823.1	+	187313	189431	2	723	LIC_RS00810:LIC_RS00815
NC_005823.1	+	187737	189545	3	2	LIC_RS00810:LIC_RS00815:LIC_RS00820
NC_005823.1	+	188042	189444	1	44	LIC_RS00815
NC_005823.1	+	188049	190649	2	70	LIC_RS00815:LIC_RS00820
NC_005823.1	+	189410	191256	1	150	LIC_RS00820
NC_005823.1	+	190957	193536	1	450	LIC_RS00825
NC_005823.1	+	192609	195049	2	28	LIC_RS00825:LIC_RS00830
NC_005823.1	+	193501	195385	1	225	LIC_RS00830
NC_005823.1	+	198274	199158	1	84	LIC_RS00875
NC_005823.1	+	198286	199784	2	1	LIC_RS00875:LIC_RS00885
NC_005823.1	+	199284	200195	2	12	LIC_RS00885:LIC_RS00890
NC_005823.1	+	199404	200016	1	50	LIC_RS00885
NC_005823.1	+	199537	200851	4	5	LIC_RS00885:LIC_RS00890:LIC_RS00895:LIC_RS00900
NC_005823.1	+	199539	200595	3	3	LIC_RS00885:LIC_RS00890:LIC_RS00895
NC_005823.1	+	199877	201353	3	31	LIC_RS00890:LIC_RS00895:LIC_RS00900
NC_005823.1	+	199967	200595	2	19	LIC_RS00890:LIC_RS00895
NC_005823.1	+	199984	200244	1	4	LIC_RS00890
NC_005823.1	+	200263	200592	1	1	LIC_RS00895
NC_005823.1	+	200265	200937	2	3	LIC_RS00895:LIC_RS00900
NC_005823.1	+	200658	201374	1	11	LIC_RS00900
NC_005823.1	+	201918	202452	2	1	LIC_RS19940:LIC_RS00905
NC_005823.1	+	202312	202927	1	23	LIC_RS00905
NC_005823.1	+	202314	204739	3	67	LIC_RS00905:LIC_RS00910:LIC_RS00915
NC_005823.1	+	202314	203241	2	94	LIC_RS00905:LIC_RS00910
NC_005823.1	+	202315	205651	5	4	LIC_RS00905:LIC_RS00910:LIC_RS00915:LIC_RS00920:LIC_RS00925
NC_005823.1	+	202316	204983	4	3	LIC_RS00905:LIC_RS00910:LIC_RS00915:LIC_RS00920
NC_005823.1	+	202316	207487	7	8	LIC_RS00905:LIC_RS00910:LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935
NC_005823.1	+	202476	205859	6	2	LIC_RS00905:LIC_RS00910:LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235
NC_005823.1	+	202943	203242	1	12	LIC_RS00910
NC_005823.1	+	202947	205056	3	2	LIC_RS00910:LIC_RS00915:LIC_RS00920
NC_005823.1	+	202948	208305	7	2	LIC_RS00910:LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935:LIC_RS00940
NC_005823.1	+	202949	205467	4	1	LIC_RS00910:LIC_RS00915:LIC_RS00920:LIC_RS00925
NC_005823.1	+	202950	204614	2	23	LIC_RS00910:LIC_RS00915
NC_005823.1	+	202973	207950	6	4	LIC_RS00910:LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935
NC_005823.1	+	203176	207898	5	238	LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935
NC_005823.1	+	203176	204741	1	121	LIC_RS00915
NC_005823.1	+	203176	205211	2	65	LIC_RS00915:LIC_RS00920
NC_005823.1	+	203201	205677	3	33	LIC_RS00915:LIC_RS00920:LIC_RS00925
NC_005823.1	+	203324	205845	4	24	LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235
NC_005823.1	+	203396	212727	12	1	LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950:LIC_RS00955:LIC_RS00960:LIC_RS00965:LIC_RS00970
NC_005823.1	+	203569	209865	8	3	LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950
NC_005823.1	+	203618	208308	6	2	LIC_RS00915:LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935:LIC_RS00940
NC_005823.1	+	204734	207067	4	143	LIC_RS00920:LIC_RS00925:LIC_RS23235:LIC_RS00935
NC_005823.1	+	204738	205684	2	18	LIC_RS00920:LIC_RS00925
NC_005823.1	+	204751	205202	1	8	LIC_RS00920
NC_005823.1	+	204785	205845	3	10	LIC_RS00920:LIC_RS00925:LIC_RS23235
NC_005823.1	+	205180	207948	3	872	LIC_RS00925:LIC_RS23235:LIC_RS00935
NC_005823.1	+	205180	205645	1	45	LIC_RS00925
NC_005823.1	+	205203	205859	2	30	LIC_RS00925:LIC_RS23235
NC_005823.1	+	205313	208305	4	5	LIC_RS00925:LIC_RS23235:LIC_RS00935:LIC_RS00940
NC_005823.1	+	205486	209816	6	1	LIC_RS00925:LIC_RS23235:LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950
NC_005823.1	+	205634	207949	2	242	LIC_RS23235:LIC_RS00935
NC_005823.1	+	205642	205844	1	1	LIC_RS23235
NC_005823.1	+	205852	208010	1	95	LIC_RS00935
NC_005823.1	+	205995	208550	2	45	LIC_RS00935:LIC_RS00940
NC_005823.1	+	206271	209954	4	11	LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950
NC_005823.1	+	207134	211216	7	1	LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950:LIC_RS00955:LIC_RS00960:LIC_RS00965
NC_005823.1	+	207363	208897	3	11	LIC_RS00935:LIC_RS00940:LIC_RS00945
NC_005823.1	+	207419	210275	5	3	LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950:LIC_RS00955
NC_005823.1	+	207629	210781	6	3	LIC_RS00935:LIC_RS00940:LIC_RS00945:LIC_RS00950:LIC_RS00955:LIC_RS00960
NC_005823.1	+	208020	208334	1	2	LIC_RS00940
NC_005823.1	+	208020	209956	3	14	LIC_RS00940:LIC_RS00945:LIC_RS00950
NC_005823.1	+	208037	208926	2	5	LIC_RS00940:LIC_RS00945
NC_005823.1	+	208132	211110	5	4	LIC_RS00940:LIC_RS00945:LIC_RS00950:LIC_RS00955:LIC_RS00960
NC_005823.1	+	208420	210480	4	1	LIC_RS00940:LIC_RS00945:LIC_RS00950:LIC_RS00955
NC_005823.1	+	208609	209956	2	8	LIC_RS00945:LIC_RS00950
NC_005823.1	+	208630	208915	1	1	LIC_RS00945
NC_005823.1	+	208702	211048	4	4	LIC_RS00945:LIC_RS00950:LIC_RS00955:LIC_RS00960
NC_005823.1	+	208806	210426	3	1	LIC_RS00945:LIC_RS00950:LIC_RS00955
NC_005823.1	+	208931	209952	1	19	LIC_RS00950
NC_005823.1	+	208939	210994	3	40	LIC_RS00950:LIC_RS00955:LIC_RS00960
NC_005823.1	+	208939	210464	2	19	LIC_RS00950:LIC_RS00955
NC_005823.1	+	209521	213260	6	1	LIC_RS00950:LIC_RS00955:LIC_RS00960:LIC_RS00965:LIC_RS00970:LIC_RS00975
NC_005823.1	+	209960	211076	2	42	LIC_RS00955:LIC_RS00960
NC_005823.1	+	209989	210510	1	3	LIC_RS00955
NC_005823.1	+	210120	213260	5	2	LIC_RS00955:LIC_RS00960:LIC_RS00965:LIC_RS00970:LIC_RS00975
NC_005823.1	+	210195	211567	3	2	LIC_RS00955:LIC_RS00960:LIC_RS00965
NC_005823.1	+	210549	210997	1	25	LIC_RS00960
NC_005823.1	+	210613	211812	2	5	LIC_RS00960:LIC_RS00965
NC_005823.1	+	210834	212916	3	1	LIC_RS00960:LIC_RS00965:LIC_RS00970
NC_005823.1	+	210913	212248	1	34	LIC_RS00965
NC_005823.1	+	210916	213428	3	27	LIC_RS00965:LIC_RS00970:LIC_RS00975
NC_005823.1	+	211224	212968	2	38	LIC_RS00965:LIC_RS00970
NC_005823.1	+	211661	215129	4	3	LIC_RS00965:LIC_RS00970:LIC_RS00975:LIC_RS00980
NC_005823.1	+	212269	213626	2	44	LIC_RS00970:LIC_RS00975
NC_005823.1	+	212300	215668	3	11	LIC_RS00970:LIC_RS00975:LIC_RS00980
NC_005823.1	+	212360	212988	1	17	LIC_RS00970
NC_005823.1	+	212465	217901	4	2	LIC_RS00970:LIC_RS00975:LIC_RS00980:LIC_RS00990
NC_005823.1	+	212927	213704	1	43	LIC_RS00975
NC_005823.1	+	212950	215796	2	29	LIC_RS00975:LIC_RS00980
NC_005823.1	+	213570	217114	3	1	LIC_RS00975:LIC_RS00980:LIC_RS00990
NC_005823.1	+	213731	215947	1	60	LIC_RS00980
NC_005823.1	+	214203	217890	2	4	LIC_RS00980:LIC_RS00990
NC_005823.1	+	215407	218561	1	92	LIC_RS00990
NC_005823.1	+	218763	220848	1	11	LIC_RS00995
NC_005823.1	+	221354	222922	1	60	LIC_RS01005
NC_005823.1	+	225107	226335	1	7	LIC_RS01030
NC_005823.1	+	226002	227185	2	43	LIC_RS01030:LIC_RS01035
NC_005823.1	+	226237	227649	3	1	LIC_RS01030:LIC_RS01035:LIC_RS01040
NC_005823.1	+	226365	227264	1	64	LIC_RS01035
NC_005823.1	+	226534	227716	2	7	LIC_RS01035:LIC_RS01040
NC_005823.1	+	227213	228345	1	10	LIC_RS01040
NC_005823.1	+	231463	233249	1	92	LIC_RS01065
NC_005823.1	+	235948	236890	2	48	LIC_RS23240:LIC_RS01085
NC_005823.1	+	235979	237197	3	3	LIC_RS23240:LIC_RS01085:LIC_RS01090
NC_005823.1	+	235980	236133	1	1	LIC_RS23240
NC_005823.1	+	236220	237051	1	55	LIC_RS01085
NC_005823.1	+	236223	238018	2	157	LIC_RS01085:LIC_RS01090
NC_005823.1	+	236936	239559	3	12	LIC_RS01085:LIC_RS01090:LIC_RS01095
NC_005823.1	+	237047	238060	1	197	LIC_RS01090
NC_005823.1	+	237139	239638	2	101	LIC_RS01090:LIC_RS01095
NC_005823.1	+	237446	240375	3	3	LIC_RS01090:LIC_RS01095:LIC_RS01100
NC_005823.1	+	238074	239650	1	335	LIC_RS01095
NC_005823.1	+	238126	240547	2	284	LIC_RS01095:LIC_RS01100
NC_005823.1	+	239673	240629	1	489	LIC_RS01100
NC_005823.1	+	241572	242652	1	92	LIC_RS01105
NC_005823.1	+	242361	243554	1	107	LIC_RS01110
NC_005823.1	+	242696	244119	2	61	LIC_RS01110:LIC_RS01115
NC_005823.1	+	243278	244193	3	2	LIC_RS01110:LIC_RS01115:LIC_RS01120
NC_005823.1	+	243475	244144	1	741	LIC_RS01115
NC_005823.1	+	243488	245156	2	154	LIC_RS01115:LIC_RS01120
NC_005823.1	+	243540	246990	3	28	LIC_RS01115:LIC_RS01120:LIC_RS01125
NC_005823.1	+	244113	247269	2	209	LIC_RS01120:LIC_RS01125
NC_005823.1	+	244135	245235	1	118	LIC_RS01120
NC_005823.1	+	245188	247607	1	999	LIC_RS01125
NC_005823.1	+	249862	252157	1	365	LIC_RS01145
NC_005823.1	+	252850	257041	1	1080	LIC_RS01150
NC_005823.1	+	258229	259262	1	423	LIC_RS01165
NC_005823.1	+	258264	260129	2	136	LIC_RS01165:LIC_RS01170
NC_005823.1	+	258264	260860	3	4	LIC_RS01165:LIC_RS01170:LIC_RS01175
NC_005823.1	+	259252	260123	1	130	LIC_RS01170
NC_005823.1	+	259266	261458	2	20	LIC_RS01170:LIC_RS01175
NC_005823.1	+	260073	261950	1	173	LIC_RS01175
NC_005823.1	+	260137	262823	2	53	LIC_RS01175:LIC_RS01180
NC_005823.1	+	261971	263172	1	58	LIC_RS01180
NC_005823.1	+	266915	268617	1	66	LIC_RS01205
NC_005823.1	+	267326	269513	2	43	LIC_RS01205:LIC_RS01210
NC_005823.1	+	268756	269615	1	29	LIC_RS01210
NC_005823.1	+	271245	272162	1	125	LIC_RS01220
NC_005823.1	+	271672	272884	2	12	LIC_RS01220:LIC_RS01225
NC_005823.1	+	271975	272888	1	70	LIC_RS01225
NC_005823.1	+	272455	273215	2	14	LIC_RS01225:LIC_RS01230
NC_005823.1	+	272830	274135	1	312	LIC_RS01230
NC_005823.1	+	272881	274868	2	76	LIC_RS01230:LIC_RS01235
NC_005823.1	+	274135	275346	1	19	LIC_RS01235
NC_005823.1	+	275598	276720	2	4	LIC_RS01240:LIC_RS01245
NC_005823.1	+	275599	276431	1	15	LIC_RS01240
NC_005823.1	+	276497	277168	1	12	LIC_RS01245
NC_005823.1	+	276599	278063	2	14	LIC_RS01245:LIC_RS01250
NC_005823.1	+	277116	278017	1	69	LIC_RS01250
NC_005823.1	+	277182	278481	2	12	LIC_RS01250:LIC_RS01255
NC_005823.1	+	277705	278748	3	1	LIC_RS01250:LIC_RS01255:LIC_RS23080
NC_005823.1	+	277916	278448	1	5	LIC_RS01255
NC_005823.1	+	278380	278587	2	1	LIC_RS01255:LIC_RS23080
NC_005823.1	+	278532	279518	2	1	LIC_RS23080:LIC_RS01265
NC_005823.1	+	278910	280279	1	333	LIC_RS01265
NC_005823.1	+	282894	283433	1	1	LIC_RS01280
NC_005823.1	+	283154	283991	2	3	LIC_RS01280:LIC_RS01285
NC_005823.1	+	283488	285082	1	28	LIC_RS01285
NC_005823.1	+	289518	291141	1	672	LIC_RS01300
NC_005823.1	+	292755	294789	1	27	LIC_RS01315
NC_005823.1	+	293968	295680	2	18	LIC_RS01315:LIC_RS01320
NC_005823.1	+	294865	295679	1	15	LIC_RS01320
NC_005823.1	+	295641	297477	1	155	LIC_RS01325
NC_005823.1	+	295745	298782	2	52	LIC_RS01325:LIC_RS01330
NC_005823.1	+	297489	298672	1	32	LIC_RS01330
NC_005823.1	+	299233	300623	1	168	LIC_RS01345
NC_005823.1	+	300805	302716	1	90	LIC_RS19980
NC_005823.1	+	311243	313434	2	16	LIC_RS01400:LIC_RS01405
NC_005823.1	+	311278	313557	1	74	LIC_RS01405
NC_005823.1	+	313386	314019	1	9	LIC_RS01415
NC_005823.1	+	314583	316404	1	40	LIC_RS01425
NC_005823.1	+	316293	317720	1	12	LIC_RS01430
NC_005823.1	+	317825	319151	1	69	LIC_RS01435
NC_005823.1	+	319403	320867	1	18	LIC_RS01445
NC_005823.1	+	320125	321280	2	1	LIC_RS01445:LIC_RS01450
NC_005823.1	+	320588	322449	1	59	LIC_RS01450
NC_005823.1	+	321246	322873	2	4	LIC_RS01450:LIC_RS01455
NC_005823.1	+	322586	323475	1	23	LIC_RS01455
NC_005823.1	+	322587	324353	2	49	LIC_RS01455:LIC_RS01460
NC_005823.1	+	323313	324502	3	1	LIC_RS01455:LIC_RS01460:LIC_RS01465
NC_005823.1	+	323572	324449	1	20	LIC_RS01460
NC_005823.1	+	323791	324504	2	7	LIC_RS01460:LIC_RS01465
NC_005823.1	+	324384	326401	1	27	LIC_RS01465
NC_005823.1	+	329036	329772	1	21	LIC_RS01475
NC_005823.1	+	329201	330090	2	8	LIC_RS01475:LIC_RS23245
NC_005823.1	+	329429	330311	3	6	LIC_RS01475:LIC_RS23245:LIC_RS01485
NC_005823.1	+	329762	330118	1	83	LIC_RS23245
NC_005823.1	+	329838	330523	2	219	LIC_RS23245:LIC_RS01485
NC_005823.1	+	329838	331051	3	19	LIC_RS23245:LIC_RS01485:LIC_RS01490
NC_005823.1	+	330031	330524	1	7	LIC_RS01485
NC_005823.1	+	330066	331254	2	15	LIC_RS01485:LIC_RS01490
NC_005823.1	+	330185	331362	3	1	LIC_RS01485:LIC_RS01490:LIC_RS01495
NC_005823.1	+	330540	331316	1	25	LIC_RS01490
NC_005823.1	+	330628	331614	2	18	LIC_RS01490:LIC_RS01495
NC_005823.1	+	331269	331617	1	49	LIC_RS01495
NC_005823.1	+	331269	333079	2	50	LIC_RS01495:LIC_RS01500
NC_005823.1	+	331566	333203	3	1	LIC_RS01495:LIC_RS01500:LIC_RS23250
NC_005823.1	+	331618	333083	1	379	LIC_RS01500
NC_005823.1	+	331842	333173	2	3	LIC_RS01500:LIC_RS23250
NC_005823.1	+	334400	335247	1	5	LIC_RS01510
NC_005823.1	+	334500	335440	2	2	LIC_RS01510:LIC_RS01515
NC_005823.1	+	335196	335725	1	6	LIC_RS01515
NC_005823.1	+	337680	338795	1	35	LIC_RS01525
