chrom	start	gene	strand	LIC-dRNA-nonpolyA	LIC-dRNA-cDNA-polyA	LIC-dRNA-polyA	Q29-dRNA-nonpolyA-R1	Q29-dRNA-nonpolyA-R2	clusters
NC_005823.1	40391	LIC_RS00170	+	41197;2	NA	NA	NA	NA	55
NC_005823.1	40950	LIC_RS00175	+	NA	NA	NA	NA	41956;6	56
NC_005823.1	40951	LIC_RS00175	+	42136;2	NA	NA	NA	NA	56
NC_005823.1	41760	LIC_RS00180	+	41952;1	NA	NA	NA	NA	57
NC_005823.1	44221	LIC_RS00185	+	NA	NA	NA	45333;3	44897;2	58
NC_005823.1	46569	LIC_RS00195	+	NA	NA	NA	46890;2	NA	59
NC_005823.1	46613	unaware	+	47675;5	NA	NA	NA	NA	60
NC_005823.1	46625	unaware	+	NA	NA	NA	46989;22	NA	61
NC_005823.1	46628	unaware	+	NA	NA	NA	NA	47328;5	61
NC_005823.1	50870	unaware	+	NA	NA	NA	51660;2	NA	62
NC_005823.1	50939	unaware	+	NA	NA	NA	51595;4	NA	63
NC_005823.1	51910	LIC_RS00220	+	NA	NA	NA	NA	52472;1	64
NC_005823.1	51983	LIC_RS00220	+	NA	NA	NA	NA	52772;1	65
NC_005823.1	52022	LIC_RS00220	+	NA	NA	NA	NA	52452;1	66
NC_005823.1	52027	LIC_RS00220	+	NA	NA	NA	52854;7	NA	66
NC_005823.1	52080	unaware	+	52860;2	NA	NA	52504;54	53152;8	67
NC_005823.1	53470	unaware	+	NA	53848;2	NA	NA	NA	68
NC_005823.1	54109	unaware	+	NA	NA	NA	NA	54287;7	69
NC_005823.1	54245	LIC_RS00225	+	NA	NA	NA	54693;3	NA	70
NC_005823.1	54382	unaware	+	NA	NA	NA	NA	54693;5	71
NC_005823.1	54384	unaware	+	54749;2	NA	NA	54693;36	NA	71
NC_005823.1	55041	LIC_RS00230	+	NA	NA	NA	NA	55565;19	72
NC_005823.1	55045	LIC_RS00230	+	55374;10	NA	NA	55564;157	NA	72
NC_005823.1	56222	LIC_RS00235	+	57285;2	NA	NA	NA	NA	73
NC_005823.1	56223	LIC_RS00235	+	NA	NA	NA	57042;69	57617;13	73
NC_005823.1	56455	unaware	+	57289;8	NA	NA	NA	NA	74
NC_005823.1	62142	unaware	+	NA	NA	NA	62422;11	NA	75
NC_005823.1	62142	LIC_RS00260	+	NA	NA	NA	NA	62666;3	75
NC_005823.1	62554	LIC_RS00260	+	NA	NA	NA	63283;5	63077;2	76
NC_005823.1	63414	unaware	+	NA	NA	NA	64503;4	NA	77
NC_005823.1	63776	unaware	+	63922;2	NA	NA	NA	NA	78
NC_005823.1	66478	LIC_RS00275	+	66606;29	67505;2	NA	NA	NA	79
NC_005823.1	66481	LIC_RS00275	+	NA	NA	NA	67463;303	67467;84	79
NC_005823.1	67860	unaware	+	NA	NA	NA	NA	68083;3	80
NC_005823.1	68715	unaware	+	NA	NA	NA	68917;7	NA	81
NC_005823.1	69683	LIC_RS00290	+	NA	NA	NA	70506;4	NA	82
NC_005823.1	72363	unaware	+	NA	NA	NA	NA	72489;2	83
NC_005823.1	74253	unaware	+	NA	NA	NA	NA	74602;2	84
NC_005823.1	74257	unaware	+	NA	NA	NA	74875;8	NA	84
NC_005823.1	74572	unaware	+	74922;2	NA	NA	NA	NA	85
NC_005823.1	74626	LIC_RS00305	+	NA	NA	NA	NA	74943;1	86
NC_005823.1	74878	LIC_RS00305	+	NA	NA	NA	NA	75165;1	87
NC_005823.1	74879	LIC_RS00305	+	NA	NA	NA	76088;4	NA	87
NC_005823.1	75444	unaware	+	NA	NA	NA	75896;12	NA	88
NC_005823.1	75648	unaware	+	75967;2	NA	NA	NA	NA	89
NC_005823.1	76133	unaware	+	NA	NA	NA	NA	76795;5	90
NC_005823.1	77684	unaware	+	77953;2	NA	NA	NA	NA	91
NC_005823.1	77932	LIC_RS00310	+	78190;1	NA	NA	NA	NA	92
NC_005823.1	77933	LIC_RS00310	+	NA	NA	NA	79074;12	NA	92
NC_005823.1	78060	LIC_RS00310	+	78572;1	NA	NA	NA	NA	93
NC_005823.1	78087	LIC_RS00310	+	78608;1	NA	NA	NA	NA	94
NC_005823.1	79063	LIC_RS00320	+	NA	NA	NA	79847;4	NA	95
NC_005823.1	79197	LIC_RS00320	+	NA	NA	NA	81073;1	NA	96
NC_005823.1	79345	LIC_RS00320	+	NA	NA	NA	81073;1	NA	97
NC_005823.1	79610	LIC_RS00325	+	NA	NA	NA	79977;1	NA	98
NC_005823.1	79833	LIC_RS00325	+	NA	NA	NA	80431;1	NA	99
NC_005823.1	85458	unaware	+	85819;2	NA	NA	NA	NA	100
NC_005823.1	85728	LIC_RS00345	+	NA	NA	NA	86709;11	NA	101
NC_005823.1	85731	LIC_RS00345	+	NA	NA	NA	NA	86505;1	101
NC_005823.1	85798	LIC_RS00345	+	NA	NA	NA	86580;9	NA	102
NC_005823.1	85823	LIC_RS00345	+	NA	NA	NA	NA	86261;1	103
NC_005823.1	86118	unaware	+	86353;2	NA	NA	NA	NA	104
NC_005823.1	87335	unaware	+	87652;14	NA	NA	NA	NA	105
NC_005823.1	87380	LIC_RS00350	+	87652;246	87655;3	87651;4	87652;3162	87652;792	106
NC_005823.1	88183	unaware	+	NA	NA	NA	NA	88339;3	107
NC_005823.1	90849	LIC_RS00370	+	91696;1	NA	NA	NA	NA	108
NC_005823.1	90922	LIC_RS00370	+	NA	NA	NA	NA	91396;1	109
NC_005823.1	90924	LIC_RS00370	+	91311;1	NA	NA	NA	NA	109
NC_005823.1	90942	LIC_RS00370	+	NA	NA	NA	91666;2	NA	110
NC_005823.1	90948	LIC_RS00370	+	NA	NA	NA	NA	91638;1	110
NC_005823.1	90986	unaware	+	NA	NA	NA	NA	91665;5	111
NC_005823.1	90987	unaware	+	NA	NA	NA	91803;13	NA	111
NC_005823.1	92691	LIC_RS00380	+	93388;4	NA	NA	NA	NA	112
NC_005823.1	92699	LIC_RS00380	+	NA	NA	NA	93165;27	NA	112
NC_005823.1	92700	LIC_RS00380	+	NA	NA	NA	NA	93732;12	112
NC_005823.1	94745	unaware	+	94975;2	NA	NA	95291;5	NA	113
NC_005823.1	94747	unaware	+	NA	NA	NA	NA	95097;3	113
NC_005823.1	95526	LIC_RS23215	+	NA	NA	NA	NA	96014;2	114
NC_005823.1	95638	LIC_RS23215	+	NA	NA	NA	96069;3	NA	115
NC_005823.1	95696	LIC_RS23215	+	NA	NA	NA	96363;4	NA	116
NC_005823.1	95719	unaware	+	96283;4	NA	NA	NA	NA	117
NC_005823.1	95720	unaware	+	NA	NA	NA	96248;24	NA	117
NC_005823.1	95991	LIC_RS00400	+	96322;4	NA	NA	NA	NA	118
NC_005823.1	95992	LIC_RS00400	+	NA	NA	NA	96281;49	96281;9	118
NC_005823.1	95993	LIC_RS00400	+	NA	96527;2	NA	NA	NA	118
NC_005823.1	100054	unaware	+	NA	NA	NA	NA	100367;4	119
NC_005823.1	100066	unaware	+	NA	NA	NA	100277;6	NA	120
NC_005823.1	100635	LIC_RS00445	+	NA	NA	NA	101412;1	NA	121
NC_005823.1	100705	unaware	+	NA	NA	NA	NA	101234;2	122
NC_005823.1	100706	LIC_RS00445	+	NA	NA	NA	101485;5	NA	122
NC_005823.1	102299	unaware	+	NA	NA	NA	102936;4	NA	123
NC_005823.1	102301	unaware	+	NA	NA	NA	NA	103004;2	123
NC_005823.1	103718	LIC_RS00455	+	NA	NA	NA	NA	104856;7	124
NC_005823.1	103720	LIC_RS00455	+	NA	NA	NA	105444;14	NA	124
NC_005823.1	103793	unaware	+	103979;2	NA	NA	NA	NA	125
NC_005823.1	105057	LIC_RS00460	+	NA	NA	NA	NA	106713;1	126
NC_005823.1	105066	LIC_RS00460	+	NA	NA	NA	105691;7	NA	126
NC_005823.1	105466	LIC_RS00465	+	NA	NA	NA	NA	106137;1	127
NC_005823.1	106726	unaware	+	107083;2	NA	NA	NA	NA	128
NC_005823.1	107590	LIC_RS00470	+	NA	NA	NA	108974;9	108974;4	129
NC_005823.1	107592	LIC_RS00475	+	108975;1	NA	NA	NA	NA	129
NC_005823.1	108054	LIC_RS00475	+	109162;1	NA	NA	NA	NA	130
NC_005823.1	108198	LIC_RS00475	+	108927;1	NA	NA	NA	NA	131
NC_005823.1	110429	unaware	+	NA	NA	NA	110802;3	NA	132
NC_005823.1	113075	unaware	+	NA	NA	NA	113243;3	NA	133
NC_005823.1	114064	unaware	+	NA	NA	NA	114415;4	NA	134
NC_005823.1	114956	unaware	+	NA	NA	NA	115118;8	NA	135
NC_005823.1	116620	LIC_RS00510	+	NA	NA	NA	117010;3	NA	136
NC_005823.1	116672	LIC_RS00510	+	NA	NA	NA	NA	117190;2	137
NC_005823.1	116673	LIC_RS00510	+	NA	NA	NA	117010;3	NA	137
NC_005823.1	117310	unaware	+	NA	NA	NA	118377;2	NA	138
NC_005823.1	117433	unaware	+	NA	NA	NA	NA	118214;3	139
NC_005823.1	117893	unaware	+	118251;2	NA	NA	NA	NA	140
NC_005823.1	118329	unaware	+	NA	NA	NA	NA	118556;2	141
NC_005823.1	118489	unaware	+	NA	NA	NA	118981;5	NA	142
NC_005823.1	118777	unaware	+	NA	NA	NA	119119;19	NA	143
NC_005823.1	122788	LIC_RS00530	+	NA	NA	NA	NA	123486;9	144
NC_005823.1	122789	LIC_RS00530	+	123756;2	NA	NA	NA	NA	144
NC_005823.1	122792	LIC_RS00530	+	NA	NA	NA	123601;25	NA	144
NC_005823.1	122822	LIC_RS00535	+	123547;1	NA	NA	NA	NA	145
NC_005823.1	123431	LIC_RS00535	+	NA	NA	NA	124222;22	NA	146
NC_005823.1	123435	LIC_RS00535	+	NA	NA	NA	NA	125180;9	146
NC_005823.1	126685	unaware	+	NA	NA	NA	127600;5	NA	147
NC_005823.1	127166	unaware	+	NA	NA	NA	127444;31	NA	148
NC_005823.1	127172	unaware	+	NA	NA	NA	NA	127449;9	148
NC_005823.1	127967	unaware	+	NA	NA	NA	128924;2	NA	149
NC_005823.1	128108	LIC_RS00565	+	NA	NA	NA	NA	128837;1	150
NC_005823.1	128127	LIC_RS00565	+	NA	NA	NA	NA	128514;2	151
NC_005823.1	128263	LIC_RS00565	+	NA	NA	NA	129018;8	NA	152
NC_005823.1	130048	unaware	+	NA	NA	NA	131323;15	131162;3	153
NC_005823.1	130532	LIC_RS00580	+	131160;2	NA	NA	NA	NA	154
NC_005823.1	131018	LIC_RS00585	+	131609;1	NA	NA	NA	NA	155
NC_005823.1	131070	LIC_RS00585	+	NA	NA	NA	NA	131614;3	156
NC_005823.1	131223	LIC_RS00585	+	131694;1	NA	NA	NA	NA	157
NC_005823.1	132054	LIC_RS00590	+	NA	NA	NA	132337;9	NA	158
NC_005823.1	132598	unaware	+	NA	NA	NA	133225;28	NA	159
NC_005823.1	132869	LIC_RS00595	+	133311;1	NA	NA	NA	NA	160
NC_005823.1	133016	LIC_RS00595	+	133363;1	NA	NA	NA	NA	161
NC_005823.1	133500	unaware	+	NA	NA	NA	NA	133958;3	162
NC_005823.1	133816	unaware	+	133961;3	NA	NA	NA	NA	163
NC_005823.1	134234	unaware	+	NA	NA	NA	134861;23	NA	164
NC_005823.1	134245	unaware	+	NA	NA	NA	NA	135235;5	165
NC_005823.1	134309	unaware	+	135093;3	NA	NA	NA	NA	166
NC_005823.1	137600	unaware	+	NA	NA	NA	138028;2	NA	167
NC_005823.1	141347	unaware	+	NA	NA	NA	142667;2	NA	168
NC_005823.1	141510	unaware	+	142019;2	NA	NA	NA	142665;4	169
NC_005823.1	141807	LIC_RS00625	+	142934;1	NA	NA	142939;33	142664;9	170
NC_005823.1	142518	LIC_RS00630	+	144122;1	NA	NA	NA	NA	171
NC_005823.1	142555	LIC_RS00630	+	142934;1	NA	NA	NA	NA	172
NC_005823.1	144204	unaware	+	NA	NA	NA	145244;3	NA	173
NC_005823.1	144246	LIC_RS00635	+	145243;17	NA	NA	145243;192	145243;39	174
NC_005823.1	145320	LIC_RS00640	+	145805;3	NA	NA	NA	NA	175
NC_005823.1	145322	LIC_RS00640	+	NA	NA	NA	145782;78	145782;23	175
NC_005823.1	145742	LIC_RS00645	+	147257;1	NA	NA	NA	NA	176
NC_005823.1	145770	LIC_RS00645	+	147187;1	NA	NA	NA	NA	177
NC_005823.1	146814	LIC_RS00645	+	147076;1	NA	NA	NA	NA	178
NC_005823.1	147440	unaware	+	147813;2	NA	NA	NA	NA	179
NC_005823.1	147864	unaware	+	148711;3	NA	NA	NA	NA	180
NC_005823.1	149318	unaware	+	NA	NA	NA	NA	149857;12	181
NC_005823.1	151483	unaware	+	NA	NA	NA	NA	151860;2	182
NC_005823.1	151882	LIC_RS00655	+	NA	NA	NA	152487;40	NA	183
NC_005823.1	151884	LIC_RS00655	+	152047;8	NA	NA	NA	152046;12	183
NC_005823.1	153029	LIC_RS00660	+	153951;2	NA	NA	NA	NA	184
NC_005823.1	153051	LIC_RS00665	+	153970;3	NA	NA	NA	153774;11	185
NC_005823.1	153052	LIC_RS00665	+	NA	153803;3	NA	153836;44	NA	185
NC_005823.1	153461	LIC_RS00665	+	153840;3	NA	NA	NA	153609;9	186
NC_005823.1	153514	unaware	+	153837;43	NA	NA	153836;448	153774;130	187
NC_005823.1	157073	unaware	+	NA	NA	NA	NA	157301;2	188
NC_005823.1	157082	unaware	+	NA	NA	NA	158482;2	NA	188
NC_005823.1	157147	LIC_RS00680	+	157641;6	NA	NA	157643;19	158335;7	189
NC_005823.1	159333	LIC_RS00690	+	NA	NA	NA	NA	159908;1	190
NC_005823.1	159350	unaware	+	159666;2	NA	NA	NA	NA	191
NC_005823.1	159352	LIC_RS00690	+	NA	NA	NA	159908;26	NA	191
NC_005823.1	159352	unaware	+	NA	NA	NA	NA	159887;7	191
NC_005823.1	159577	LIC_RS00690	+	NA	NA	NA	NA	159908;1	192
NC_005823.1	159725	LIC_RS00690	+	NA	NA	NA	NA	159929;1	193
NC_005823.1	159986	unaware	+	NA	NA	NA	NA	160434;4	194
NC_005823.1	160452	unaware	+	160778;2	NA	NA	NA	NA	195
NC_005823.1	161309	unaware	+	161607;2	NA	NA	NA	NA	196
NC_005823.1	162307	unaware	+	NA	NA	NA	162517;3	NA	197
NC_005823.1	163570	unaware	+	164266;8	164190;2	NA	163813;72	NA	198
NC_005823.1	163570	LIC_RS00710	+	NA	NA	NA	NA	164988;11	198
NC_005823.1	166538	LIC_RS00715	+	NA	NA	NA	167126;1	NA	199
NC_005823.1	166665	LIC_RS00715	+	NA	NA	NA	167350;1	NA	200
NC_005823.1	166915	LIC_RS00715	+	NA	NA	NA	167744;1	NA	201
NC_005823.1	167619	unaware	+	NA	NA	NA	NA	167928;3	202
NC_005823.1	168514	unaware	+	169595;9	NA	NA	NA	NA	203
NC_005823.1	168516	unaware	+	NA	NA	NA	169717;114	169148;22	203
NC_005823.1	169826	unaware	+	NA	NA	NA	NA	170107;2	204
NC_005823.1	169831	LIC_RS00725	+	NA	170834;1	NA	NA	NA	204
NC_005823.1	170423	LIC_RS00725	+	170772;18	170777;2	NA	NA	170772;75	205
NC_005823.1	170424	LIC_RS00725	+	NA	NA	NA	170776;284	NA	205
NC_005823.1	173412	LIC_RS00740	+	173917;5	NA	NA	173833;33	174181;9	206
NC_005823.1	173824	LIC_RS00745	+	NA	NA	NA	174504;51	NA	207
NC_005823.1	173828	LIC_RS00745	+	NA	NA	NA	NA	174389;20	207
NC_005823.1	173830	LIC_RS00745	+	174151;5	NA	NA	NA	NA	207
NC_005823.1	174414	unaware	+	174888;4	NA	NA	NA	NA	208
NC_005823.1	176125	unaware	+	NA	NA	NA	NA	176719;2	209
NC_005823.1	176136	unaware	+	NA	NA	NA	176722;11	NA	210
NC_005823.1	176137	unaware	+	176504;4	NA	NA	NA	NA	210
NC_005823.1	177891	LIC_RS00760	+	NA	NA	NA	NA	178569;1	211
NC_005823.1	177946	LIC_RS00760	+	NA	NA	NA	178579;3	NA	212
NC_005823.1	177947	LIC_RS00760	+	NA	NA	NA	NA	178331;1	212
NC_005823.1	178100	unaware	+	NA	178694;2	NA	NA	NA	213
NC_005823.1	179554	LIC_RS00765	+	NA	NA	NA	180088;1	NA	214
NC_005823.1	179614	unaware	+	179786;2	NA	NA	NA	NA	215
NC_005823.1	179678	LIC_RS00765	+	NA	NA	NA	NA	180038;1	216
NC_005823.1	179780	LIC_RS00765	+	NA	NA	NA	179988;2	NA	217
NC_005823.1	179790	LIC_RS00765	+	NA	NA	NA	NA	180084;1	217
NC_005823.1	179813	unaware	+	180072;2	NA	NA	179988;15	NA	218
NC_005823.1	180293	unaware	+	NA	NA	NA	181474;11	NA	219
NC_005823.1	180295	unaware	+	NA	NA	NA	NA	180704;4	219
NC_005823.1	180569	LIC_RS00770	+	181179;1	NA	NA	NA	NA	220
NC_005823.1	180726	LIC_RS00770	+	181464;1	NA	NA	NA	NA	221
NC_005823.1	180729	unaware	+	NA	NA	NA	181113;28	NA	221
NC_005823.1	180986	LIC_RS00770	+	181307;1	NA	NA	NA	NA	222
NC_005823.1	182795	unaware	+	183381;3	NA	NA	NA	NA	223
NC_005823.1	183602	LIC_RS00775	+	NA	NA	NA	184168;1	NA	224
NC_005823.1	183744	LIC_RS00775	+	NA	NA	NA	184246;1	NA	225
NC_005823.1	184499	unaware	+	NA	NA	NA	185425;2	NA	226
NC_005823.1	184519	unaware	+	NA	NA	NA	184920;12	NA	227
NC_005823.1	184542	unaware	+	NA	NA	NA	NA	185069;2	228
NC_005823.1	184646	unaware	+	184795;3	NA	NA	NA	NA	229
NC_005823.1	184647	unaware	+	NA	NA	NA	NA	184877;10	229
NC_005823.1	184673	LIC_RS00785	+	185217;19	NA	NA	185217;182	185628;26	230
NC_005823.1	185260	LIC_RS00805	+	NA	NA	NA	185628;43	185628;9	231
NC_005823.1	186042	unaware	+	186550;2	NA	NA	NA	NA	232
NC_005823.1	186177	unaware	+	NA	NA	NA	187130;35	187260;7	233
NC_005823.1	187314	LIC_RS00810	+	NA	NA	NA	188109;131	NA	234
NC_005823.1	187316	LIC_RS00810	+	189439;6	NA	NA	NA	188108;28	234
NC_005823.1	187916	LIC_RS00815	+	NA	NA	NA	188108;241	NA	235
NC_005823.1	189025	unaware	+	NA	NA	NA	189440;23	NA	236
NC_005823.1	189362	LIC_RS00820	+	189720;3	NA	NA	NA	189531;10	237
NC_005823.1	189363	LIC_RS00820	+	NA	NA	NA	189600;24	NA	237
NC_005823.1	190450	unaware	+	190704;2	NA	NA	NA	NA	238
NC_005823.1	191205	LIC_RS00825	+	191660;4	NA	NA	191618;47	191774;19	239
NC_005823.1	193320	LIC_RS00830	+	NA	NA	NA	194091;19	NA	240
NC_005823.1	193546	LIC_RS00830	+	NA	NA	NA	194090;19	194122;8	241
NC_005823.1	194207	unaware	+	195001;2	NA	NA	NA	NA	242
NC_005823.1	198275	LIC_RS00875	+	198915;5	NA	NA	198771;37	198969;7	243
NC_005823.1	199538	unaware	+	NA	NA	NA	200005;54	200006;10	244
NC_005823.1	199967	LIC_RS00890	+	NA	NA	NA	200847;39	201124;13	245
NC_005823.1	199983	LIC_RS00895	+	NA	NA	NA	NA	201124;5	246
NC_005823.1	202316	LIC_RS00905	+	NA	NA	NA	203091;55	NA	247
NC_005823.1	202318	LIC_RS00905	+	NA	NA	NA	NA	205928;14	247
NC_005823.1	202838	LIC_RS00910	+	NA	NA	NA	203132;79	203092;28	248
NC_005823.1	202839	LIC_RS00910	+	203132;4	NA	NA	NA	NA	248
NC_005823.1	202858	LIC_RS00910	+	205712;2	NA	NA	NA	NA	249
NC_005823.1	204193	LIC_RS00920	+	205639;1	NA	NA	NA	NA	250
NC_005823.1	204530	LIC_RS00920	+	205712;1	NA	NA	NA	NA	251
NC_005823.1	205222	LIC_RS00925	+	205927;3	NA	NA	NA	NA	252
NC_005823.1	205222	LIC_RS23235	+	NA	NA	NA	205928;467	NA	252
NC_005823.1	205536	LIC_RS23235	+	NA	NA	NA	205928;619	NA	253
NC_005823.1	205640	LIC_RS00935	+	205929;7	NA	NA	NA	NA	254
NC_005823.1	207292	LIC_RS00945	+	209821;1	NA	NA	NA	NA	255
NC_005823.1	208172	LIC_RS00945	+	210075;1	NA	NA	NA	NA	256
NC_005823.1	208845	LIC_RS00950	+	209356;1	NA	NA	NA	NA	257
NC_005823.1	209887	LIC_RS00955	+	NA	NA	NA	NA	210845;6	258
NC_005823.1	210569	unaware	+	210770;2	NA	NA	NA	NA	259
NC_005823.1	213483	LIC_RS00980	+	NA	NA	NA	NA	214626;2	260
NC_005823.1	215534	LIC_RS00990	+	NA	NA	NA	217733;13	216879;4	261
NC_005823.1	221354	unaware	+	NA	NA	NA	221645;3	221633;2	262
NC_005823.1	221480	LIC_RS01005	+	221999;4	NA	NA	221834;18	222000;5	263
NC_005823.1	221847	unaware	+	222169;2	NA	NA	222635;19	NA	264
NC_005823.1	221849	unaware	+	NA	NA	NA	NA	222489;8	264
NC_005823.1	225993	LIC_RS01030	+	NA	NA	NA	226804;5	NA	265
NC_005823.1	226002	LIC_RS01030	+	NA	NA	NA	NA	226770;2	265
NC_005823.1	226238	LIC_RS01035	+	NA	NA	NA	227648;14	NA	266
NC_005823.1	226290	LIC_RS01035	+	NA	NA	NA	226567;20	227166;5	267
NC_005823.1	226876	unaware	+	227122;2	NA	NA	NA	NA	268
NC_005823.1	227931	unaware	+	NA	NA	NA	NA	228180;2	269
NC_005823.1	228094	unaware	+	NA	NA	NA	NA	228346;3	270
NC_005823.1	228524	unaware	+	NA	NA	NA	228944;3	NA	271
NC_005823.1	230440	unaware	+	NA	NA	NA	231292;3	NA	272
NC_005823.1	231955	LIC_RS01065	+	232978;3	NA	NA	NA	NA	273
NC_005823.1	231964	LIC_RS01065	+	NA	NA	NA	232407;20	232407;9	273
NC_005823.1	232954	unaware	+	233143;4	NA	NA	NA	NA	274
NC_005823.1	233317	unaware	+	NA	NA	NA	NA	233531;3	275
